Country,Region,rule_type,Max Stay Days,Requirement
Kyrgyzstan,Asia,hainan_30_visa_free,30,Enter through a Hainan open port and remain inside Hainan Province
Vietnam,Asia,hainan_30_visa_free,30,Enter through a Hainan open port and remain inside Hainan Province
